Code,HotelDescription,Brand,Country,Type,CreatedDate,TMSHotelCode
BHO,Mystique Holbox by Royalton,Mystique,Mexico,Family,,
RCHANT,Royalton Chic Antigua,Royalton,Antigua,Adults Only,,HAGANU0025
CPC,Royalton CHIC Punta Cana,Royalton,Dominican Republic,Adults Only,,HRDPUJ0012
HNG,Royalton Hideaway Negril,Hideaway,Jamaica,Adults Only,,HJMMBJ0014
HPC,Royalton Hideaway Punta Cana,Hideaway,Dominican Republic,Adults Only,,HRDPUJ0011
HRC,Royalton Hideaway Riviera Cancun,Hideaway,Mexico,Adults Only,,HMXCUN0002
HSL,Royalton Hideaway Saint Lucia,Hideaway,Saint Lucia,Adults Only,,HLCUVF0021
RSPC,Royalton Splash Punta Cana,Royalton,Dominican Republic,Family,,HRDPUJ0010
PAC,Planet Hollywood Adult Scene Cancun by Royalton,Planet Hollywood,Mexico,Adults Only,,HMXCUN0005
PCA,Planet Hollywood Cancun by Royalton,Planet Hollywood,Mexico,Family,,HMXCUN0004
PCR,Planet Hollywood Costa Rica by Royalton,Planet Hollywood,Costa Rica,Family,,HCRLIR0018
RAN,Royalton Antigua,Royalton,Antigua,Family,,HAGANU0024
RBA,Royalton Bavaro,Royalton,Dominican Republic,Family,,HRDPUJ0008
RBW,Royalton Blue Waters Montego Bay,Royalton,Jamaica,Family,,HJMMBJ0016
RCA,Royalton CHIC Cancun,Royalton,Mexico,Adults Only,,HMXCUN0003
RGR,Royalton Grenada,Royalton,Grenada,Family,,HGDGNR0023
RNG,Royalton Negril,Royalton,Jamaica,Family,,HJMMBJ0015
RPC,Royalton Punta Cana,Royalton,Dominican Republic,Family,,HRDPUJ0009
RRC,Royalton Riviera Cancun,Royalton,Mexico,Family,,HMXCUN0001
RSC,Royalton Splash Riviera Cancun,Royalton,Mexico,Family,,HMXCUN0006
RSL,Royalton Saint Lucia,Royalton,Saint Lucia,Family,,HLCUVF0022
CBR,Royalton Vessence Barbados,Vessence,Barbados,Family,,HBBBGI0028
PLB,Royalton Reserve Paraíso de la Bonita,Reserve,Mexico,Adults Only,,HMXCUN0027
GLN,Grand Lido Negril Au-Naturel,Grand Lido,Jamaica,Adults Only,09/10/2025 09:16,HJMMBJ0013
ROY,Royalton Hotels and Resorts,Royalton,All,Family,09/10/2025 10:01,
HBW,Royalton Hideaway Blue Waters,Hideaway,Jamaica,Adults Only,10/29/2025 1:08:05 PM,HJMMBJ0017
RGREN,Royalton Grenada,Royalton,Grenada,Family,11/25/2025 3:18:08 PM,
RVC,Royalton Vessence Cancun,Vessence,Mexico,Adults Only,,
WSC,The Westin Cancun,Westin,Mexico,Family,,
