Resort,Count,Room Code,Room Name,Total Rooms,Bed Type,"Min
Occupancy","Max
Occupancy","Max
Adults","Kids
Max",Treatment
Grand Lido Negril,1,SNOUS,Sunset Ocean View Suite,16,1 King / 2 Queen,1,3,3,N/A,Diamond Club
Grand Lido Negril,2,SNUWS,Sunset Swim Out Suite,8,1 King / 2 Queen,1,3,3,N/A,Diamond Club
Grand Lido Negril,3,PHOJ1,Luxury Penthouse One Bedroom Suite Ocean View Terrace Jacuzzi,2,1 King + 1 Sofa,1,3,3,N/A,Diamond Club
Royalton Hideaway Negril,1,LXOUJ,Luxury Junior Suite Ocean View (2 Handicap),73,1 King / 2 Queen,1,4,4,N/A,
Royalton Hideaway Negril,2,LXOUJD,Luxury Junior Suite Ocean View Dc,20,1 King / 2 Queen,1,4,4,N/A,Diamond Club
Royalton Hideaway Negril,3,LXUWJ,Luxury Junior Suite Swim Out,26,1 King / 2 Queen,1,4,4,N/A,
Royalton Hideaway Negril,4,LXUWJD,Luxury Junior Suite Swim Out Dc,8,1 King / 2 Queen,1,4,4,N/A,Diamond Club
Royalton Hideaway Negril,5,LPOU1,Luxury Presidential One Bedroom Suite Ocean View,5,1 King + Sofa,1,3,3,N/A,
Royalton Hideaway Negril,6,LPOU1D,Luxury Presidential One Bedroom Suite Ocean View Dc,2,1 King + Sofa,1,3,3,N/A,Diamond Club
Royalton Hideaway Negril,7,PHOJ1D,Luxury Penthouse One Bedroom Suite Ocean View Terrace Jacuzzi Dc,4,1 King + Sofa,1,3,3,N/A,Diamond Club
Royalton Negril,1,LXUUJ,Luxury Junior Suite,45,1 King + Sofa / 2 Queen + Sofa,1,4,4,3,
Royalton Negril,2,LXOUJ,Luxury Junior Suite Ocean View,121,1 King + Sofa / 2 Queen + Sofa,1,4,4,3,
Royalton Negril,3,LXOUJD,Luxury Junior Suite Ocean View Dc (2 Handicap),48,1 King + Sofa / 2 Queen + Sofa,1,4,4,3,Diamond Club
Royalton Negril,4,LXUWJ,Luxury Junior Suite Swim Out (1 Handicap),68,1 King + Sofa / 2 Queen + Sofa,1,4,4,3,
Royalton Negril,5,LXUWJD,Luxury Junior Suite Swim Out Dc,28,1 King + Sofa / 2 Queen + Sofa,1,4,4,3,Diamond Club
Royalton Negril,6,LFOUS,Luxury Family Suite Ocean View,28,1 King + Sofa,1,4,3,3,
Royalton Negril,7,LFOUSD,Luxury Family Suite Ocean View Dc,20,1 King + Sofa,1,4,3,3,Diamond Club
Royalton Negril,8,LPOU1,Luxury Presidential One Bedroom Ocean View,24,1 King + 2 Sofa,1,5,4,3,
Royalton Negril,9,LPOU2,Luxury Presidential Two Bedroom Ocean View,Virtual,1 King + 2 Queen + 3 Sofa,1,9,7,4,
Royalton Negril,10,LPOU1D,Luxury Presidential One Bedroom Ocean View Dc,10,1 King + 2 Sofa,1,5,4,3,Diamond Club
Royalton Negril,11,LPOU2D,Luxury Presidential Two Bedroom Ocean View Dc,Virtual,1 King + 2 Queen + 3 Sofa,1,9,7,4,Diamond Club
Royalton Negril,12,LPOW1D,Luxury Presidential One Bedroom Swim Out Dc,4,1 King + 2 Sofa,1,5,4,3,Diamond Club
Royalton Negril,13,PHOJ1D,Luxury Penthouse One Bedroom Suite Ocean View Terrace Jacuzi Dc,6,1 King + Sofa,1,4,3,3,Diamond Club
Royalton Negril,14,CMFU2D,Luxury Chairman Two Bedroom Ocean Front Suite Dc,4,1 King + 2 Queen,1,6,6,4,Diamond Club
Royalton Negril,15,CMFU3D,Luxury Chairman Three Bedroom Ocean Front Suite Dc,Virtual,1 King + 4 Queen,1,10,8,6,Diamond Club
Royalton Negril,16,CMFU4D,Luxury Chairman Four Bedroom Ocean Front Suite Dc,Virtual,2 King + 4 Queen,1,14,12,8,Diamond Club
Royalton Blue Waters,1,LXUUJ,Luxury Junior Suite (2 Handicap),24,1 King + Sofa Bed / 2 Queen,1,4,4,3,
Royalton Blue Waters,2,LXOUJ,Luxury Junior Suite Ocean View,120,1 King + Sofa Bed / 2 Queen,1,4,4,3,
Royalton Blue Waters,3,LXOUJD,Luxury Junior Suite Ocean View Dc,50,1 King + Sofa Bed / 2 Queen,1,4,4,3,Diamond Club
Royalton Blue Waters,4,LXUWJ,Luxury Junior Suite Swim Out,12,1 King + Sofa Bed / 2 Queen,1,4,4,3,
Royalton Blue Waters,5,LXUWJD,Luxury Junior Suite Swim Out Dc,12,1 King + Sofa Bed / 2 Queen,1,4,4,3,Diamond Club
Royalton Blue Waters,6,LPOU1D,Luxury Presidential Ocean View One Bedroom Suite Dc,6,1 King + 1 Sofa Bed,1,4,3,3,Diamond Club
Royalton Blue Waters,7,LPOU2D,Luxury Presidential Ocean View Two Bedroom Suite Dc,Virtual,1 King + 2 Queen + 1 Sofa Bed,1,8,6,4,Diamond Club
Royalton Blue Waters,8,CMOU2D,Luxury Chairman'S Ocean View Two Bedroom Suite Dc,1,1 King + 2 Queen + 1 Sofa Bed,1,6,6,4,Diamond Club
Royalton Blue Waters,9,CMOU3D,Luxury Chairman'S Ocean View Three Bedroom Suite Dc,Virtual,1 King + 4 Queen + 1 Sofa Bed,1,10,8,6,Diamond Club
Royalton Hideaway Blue Waters,1,LXUUR,Luxury Room,162,1 King / 2 Twin,1,2,2,N/A,
Royalton Hideaway Blue Waters,2,LXOUR,Luxury Ocean View Room,105,1 King / 2 Twin,1,2,2,N/A,
Royalton Hideaway Blue Waters,3,LXOURD,Luxury Ocean View Room Diamond Club,28,1 King / 2 Twin,1,2,2,N/A,Diamond Club
Royalton Hideaway Blue Waters,4,LXOUJD,Luxury Junior Suite Ocean View Diamond Club,15,1 King / 2 Queen,1,4,4,N/A,Diamond Club
Royalton Hideaway Blue Waters,5,LXOCJD,Luxury Junior Suite Ocean Corner View Diamond Club,8,1 King,1,2,2,N/A,Diamond Club
Royalton Hideaway Blue Waters,6,LXOZJD,Luxury Junior Suite Ocean View Terrace Jacuzzi Diamond Club,6,1 King,1,2,2,N/A,Diamond Club
Royalton Hideaway Blue Waters,7,LXUWJD,Luxury Junior Suite Swim Out Diamond Club,11,1 King / 2 Queen,1,4,4,N/A,Diamond Club
